pattern_id,pattern_name,description,frequency,affected_applications,common_root_cause,recommended_action
10,Wireless - Configuration error,Recurring pattern of configuration error affecting Wireless services. Observed 132 times with Low severity.,132,Wireless,Configuration error,"Res.: Filing a ""Notice of Dispute""; agents can sometimes apply a 12-month credit to offset the increase if the user is on a legacy 3-year lock."
3,Fios - Configuration error,Recurring pattern of configuration error affecting Fios services. Observed 49 times with Low severity.,49,Fios,Configuration error,"Res.: ""Retention Team"" manual override; verify if the discount was ""Limited Time"" vs ""Lifetime"" in original contract notes."
6,Wireless - Hardware failure,Recurring pattern of hardware failure affecting Wireless services. Observed 12 times with Low severity.,12,Wireless,Hardware failure,"Res.: Whitelist short-code 225-999; Tech support must ""Re-sync SMS Gateway"" for the primary account holder's line."
1,Wireless - eSIM provisioning issue,Recurring pattern of esim provisioning issue affecting Wireless services. Observed 8 times with Low severity.,8,Wireless,eSIM provisioning issue,"Res.: Identity verification via in-store government ID; Fraud Department must ""Clear the Security Flag"" to restore automated provisioning."
2,Wireless - network settings,Recurring pattern of network settings affecting Wireless services. Observed 7 times with Low severity.,7,Wireless,network settings,"Check ""Data Limit"" in Android settings; Reset Network."
4,Fios - Splitter issue,Recurring pattern of splitter issue affecting Fios services. Observed 7 times with Critical severity.,7,Fios,Splitter issue,Res.: Replace coax splitters with 1675MHz-rated units; ensure MoCA Privacy is disabled on the primary router if using 3rd party extenders.
9,Wireless - Network configuration,Recurring pattern of network configuration affecting Wireless services. Observed 7 times with High severity.,7,Wireless,Network configuration,Check Plan features (Starter Unlimited has no hotspot).
11,Wireless - Tower congestion,Recurring pattern of tower congestion affecting Wireless services. Observed 7 times with High severity.,7,Wireless,Tower congestion,"Res.: Move Gateway to a tower with ""Lower Utilization""; check for ""Sector Congestion"" via a Network Repair Bureau (NRB) ticket."
15,Wireless - Cache corruption,Recurring pattern of cache corruption affecting Wireless services. Observed 6 times with Low severity.,6,Wireless,Cache corruption,"Res.: Clear browser cache; ""Unlink"" and ""Relink"" the accounts under a new primary email address to force a fresh database sync."
16,Fios - Hardware failure,Recurring pattern of hardware failure affecting Fios services. Observed 3 times with Critical severity.,3,Fios,Hardware failure,"Res.: Technical support must ""Break the Lease"" manually; ONT hardware replacement required if the ""Data"" light remains off after reboot."
8,Fios - IP lease issue,Recurring pattern of ip lease issue affecting Fios services. Observed 2 times with Low severity.,2,Fios,IP lease issue,Power Cycle ONT; Release/Renew WAN IP lease.
12,HomeInternet - Hardware failure,Recurring pattern of hardware failure affecting HomeInternet services. Observed 2 times with Low severity.,2,HomeInternet,Hardware failure,Res.: Relocate gateway away from windows; use an external USB fan for active cooling; check for firmware update for thermal management.
19,5GInfrastructure - Software bug,Recurring pattern of software bug affecting 5GInfrastructure services. Observed 2 times with High severity.,2,5GInfrastructure,Software bug,"Res.: Update to the latest OS-level carrier bundle (e.g., VZW 58.0+); requires back-end ""Feature Add"" for 5G SA on the line profile."
